Doc,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20
1222,0.01,0.01,0.01,0.01,61.618481,0.01,0.01,154.917572,0.01,0.01,15.759191,2.725855,0.01,30.028898,0.01,0.01,0.01,0.01,0.01,0.01
1223,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9.916272,0.01,0.01,0.01,0.01,0.01,10.825846,0.01,0.01,0.01,0.01,3.450363,1.847518
1224,0.01,0.01,0.01,0.01,0.01,0.01,0.01,35.45076,4.569238,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1225,0.01,0.01,10.27808,0.01,3.776165,0.01,0.01,3.653008,12.482923,0.01,0.01,0.01,0.01,21.142395,0.01,1.009997,0.01,0.01,5.727428,0.01
1226,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9.009999,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1227,0.01,0.01,2.00423,4.010005,4.66546,0.01,2.010002,39.360294,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1228,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.639764,0.01,0.01,0.01,0.01,0.01,19.380236,0.01,0.01,0.01,0.01,0.01,0.01
1229,0.01,0.01,1.183198,0.01,6.178586,0.01,0.01,56.668217,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1230,0.01,0.01,0.01,0.01,7.140021,0.01,0.01,26.625053,11.437813,0.01,0.01,0.01,0.01,6.837111,0.01,0.01,0.01,0.01,0.01,0.01
1231,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12.76506,0.01,0.01,0.01,0.01,0.01,14.254939,0.01,0.01,0.01,0.01,0.01,0.01
1232,0.01,0.01,0.01,0.01,0.01,0.01,0.01,115.536644,10.105125,0.01,0.01,12.113396,0.01,29.293751,0.01,0.01,0.01,1.001048,0.01,0.01
1233,0.01,0.01,0.01,0.01,17.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
